term,definition_count,register_ids_by_definition
Aboriginal person,3,"45|means a person who satisfies all of the below: is descended from an Aboriginal or Torres Strait Islander identifies as an Aboriginal or Torres Strait Islander is accepted as an Aboriginal or Torres Strait Islander by an Aboriginal or Torres Strait Islander Community (s.3, Bail Act).; 196|means a person who: is descended from an Aboriginal or Torres Strait Islander identifies as an Aboriginal or Torres Strait Islander is accepted as an Aboriginal or Torres Strait Islander by an Aboriginal or Torres Strait Islander Community (s.3, Bail Act).; 215/216|as defined by s.3, Bail Act."
Affected family member (AFM),3,"68|defined in s.4, Family Violence Protection Act 2008 (FVPA). The family member whose person or property is the subject of an application for an order. Once an intervention order is granted the person is known as the protected person. Used interchangeably to refer to victims of family violence as an intervention order is not always sought or granted.; 69|defined in s.4, FVPA. The family member whose person or property is the subject of an application for an order. Once an intervention order is granted the person is known as the protected person. Used interchangeably to refer to victims of family violence as an intervention order is not always sought or granted.; 169|in a Family Violence context, defined in s.4, Family Violence Protection Act 2008 (FVPA) means the family member whose person or property is the subject of an application for an order. It is also important to acknowledge that an AFM in a family violence incident is also recognised as a victim, irrespective of whether only civil matters are engaged. Refer to VPM Family Violence for further information on Victoria Police's response to family violence incidents."
Affected person,3,11|a person who is directly affected by the employee conduct alleged in the complaint.; 12|a person who is directly affected by the conduct alleged in the complaint.; 174|A person whose health and/or well-being is affected by the inappropriate behaviour.
Affirmed gender,3,"61|The gender to which one identifies, which may or may not match the individual's gender at birth. Gender affirmation is the physical, legal and social process of transitioning gender. This may include surgery, hormone or other medical treatment, changing name, using different pronouns, and changing gender on identification documentation such as birth certificate,, passport or driver's licence.; 197|The gender to which one identifies, which may or may not match the individual's gender at birth.; 207|the gender to which one identifies, which may or may not match the individual's sex assigned at birth."
Assumed identity,2,"95|a fictitious, alternative identity used for investigations, intelligence gathering or for witness protection program purposes. Under the Crimes (Assumed Identities) Act 2004, authority is required to acquire and use evidence of an assumed identity, which includes: identification documents such as drivers' licences, credit cards or a passport; and online personas and any online entities created with them, such as email accounts or accounts/profiles for social media sites or other applications or websites.; 96|a fictitious, alternative identity used for investigation and intelligence gathering purposes. Under the Crimes (Assumed Identities) Act 2004, authority is required to acquire and use evidence of an assumed identity, which includes: identification documents such as drivers' licences, credit cards or a passport; and online personas and any online entities. Online persona -an online persona is an assumed identity used to create online entities specifically for online policing activities. These activities are categorised as 'discreet' or 'covert' and reflect the level of engagement involved with the person/s of interest."
Attendance and custody area,3,"129|the section of a police facility where a person is taken for processing, an interview or to be detained. Includes the sally port, interview rooms, cells, exercise yard, fingerprint area and charge counter.; 131|the section of a police facility where a person is taken for processing, for an interview or to be detained. Includes the sally port, interview rooms, cells, exercise yard, fingerprint area and charge counter.; 203|section of a police facility where a person is taken for processing, an interview or to be detained. Includes the sally port, interview rooms, cells, exercise yard, fingerprint area and charge counter."
Bail decision maker,3,"45|is any of the following empowered under the Bail Act to grant, extend or revoke bail, or vary the amount/conditions of bail (s.3): a court a bail justice a police officer a sheriff or a person authorised under s.115(5), Fines Reform Act 2014.; 131|is any of the following empowered under the Bail Act 1977 to grant, extend or revoke bail, or vary the amount/conditions of bail (s.3, Bail Act): a court a bail justice a police officer the sheriff or a person authorised under s.115(5), Fines Reform Act 2014.; 196/215/216|is any of the following empowered under the Bail Act to grant, extend or revoke bail, or vary the amount/conditions of bail (s.3): a court a bail justice a police officer the sheriff or a person authorised under s.115(5), Fines Reform Act 2014."
Breach of discipline,2,"11|as per s.125, the Act, a police officer or protective services officer commits a breach of discipline if they: contravene a provision of the Act or Victoria Police Regulations fail to comply with a direction given under section 84 of the Independent Broad-based Anti-corruption Commission Act 2011 (IBAC Act) fail to comply with the Chief Commissioner's Instructions fail to comply with a direction given under Part 5, the Act refuse to consent to the use of evidence derived from a sample in the circumstances referred to in s.87, the Act fail to comply with a direction given under Division 1 or Part 9 of the IBAC Act refuse to consent to the use of evidence derived from a sample in the circumstances referred to in s.174, IBAC Act engage in conduct that is likely to bring Victoria Police into disrepute or diminish public confidence in it fail to comply with a lawful instruction given by the Chief Commissioner of Police (CCP), a police officer of or above the rank of senior sergeant or a person having the authority to give the instruction are guilty of disgraceful or improper conduct (whether in an official capacity or otherwise) are negligent or careless in the discharge of their duty apply for or hold a licence or permit to conduct any trade, business or profession, or accept any other employment without the approval of the Chief Commissioner act in a manner prejudicial to the good order or discipline of Victoria Police are charged and found guilty of an offence (whether under Victorian law or under the law of another place) aid, abet, counsel or procure, or by any act or omission are directly or indirectly knowingly concerned in, or a party to the commission of a breach of discipline.; 12|in accordance with s.125, the Act, a breach of discipline is committed if a police member: contravenes a provision of the Act or Victoria Police Regulations 2014 fails to comply with a direction under s.84 of the Independent Broad-based Anti-corruption Act 2011 fails to comply with the Chief Commissioner's instructions fails to comply with a direction given under Part 5, the Act refuses to consent to the use of evidence derived from a sample in the circumstances referred to in s.87, the Act fails to comply with a direction given under Division 1, Part 9 of the Independent Broad-based Anti-corruption Commission Act refuses to consent to the use of evidence derived from a sample in the circumstances referred to in s.174 of the Independent Broad-based Anti-corruption Commission Act engages in conduct that is likely to bring Victoria Police into disrepute or diminish public confidence in it fails to comply with a lawful instruction given by the Chief Commissioner of Police (CCP), or a police officer of or above the rank of Senior Sergeant, or a person having authority to give the instruction is guilty of disgraceful or improper conduct (whether in their official capacity or otherwise) is negligent or careless in the discharge of their duty without the approval of the CCP: applies for or holds a licence or permit to conduct any trade, business or profession conducts any trade, business or profession; or accepts any other employment acts in a manner prejudicial to the good order or discipline of Victoria Police has been charged with an offence (whether under Victorian law or under a law of another place) and the offence has been found proven aids, abets, counsels or procures, or who, by any act or omission, is directly or indirectly knowingly concerned in, or a party to the commission of a breach of discipline."
Business Continuity Event (Interruption),2,176|A short-term impact on service delivery that does not exceed the maximum tolerable outage. The interruption would not require relocation or activation of the Business Continuity Arrangement Standard Operating Procedure (BCA SOP) and can be managed through local interventions and workarounds.; 203|A short-term impact on service delivery that does not exceed the maximum tolerable outage (MTO). The interruption would not require relocation or activation of the Business Continuity Arrangement Standard Operating Procedure (BCA SOP) and can be managed through local interventions and workarounds.
Business Continuity Incident (Disruption),2,"176|An emergency or extended interruption, that is preventing, or has the potential to prevent, a work unit from delivering a critical service within the agreed maximum tolerable outage time.; 203|An emergency or extended interruption, such as a denial of service that is preventing, or has the potential to prevent, a work unit from delivering a critical service within the agreed maximum tolerable outage (MTO) time."
