term,definition,register_id,legislation_reference
Alcohol and other drugs,any form of alcohol or other drugs and includes both licit and illicit drugs.,1,
Drug of dependence,"has the same meaning as in the Drugs, Poisons and Controlled Substances Act 1981.",1,Poisons and Controlled Substances Act 1981
Fit for duty/fitness for duty,"the requirement for an employee to be in a condition capable of carrying out the inherent requirements of the role in a safe and competent manner, and not being impaired by alcohol or any other drug.",1,
Illicit drug,"any drug defined and specified as prohibited or illegal under Commonwealth or Victorian legislation. For the purpose of this policy, this also includes the non-prescribed use of prescription medication (including the use of another person's prescription medication).",1,
Impair/impairment,"when the effects of alcohol, illicit drugs, prescribed and non-prescribed medications impair an employee's judgment or performance, such that they are physically or mentally unable to perform work functions safely.",1,
Pharmaceutical drug misuse,"any use of pharmaceutical drugs that is inconsistent with the intended use or directions, which includes overuse and intentional misuse. For further definitions, refer to the VPM Dictionary.",1,
Authorised Officer (AO),"in accordance with Instrument of Delegation DAT 1 and for the purposes of workplace testing for alcohol or a drug of dependence an AO is: a person holding the rank or position of Inspector/VPSG-6 or above for the purposes of random testing, a VPSG-4 or above attached to the Drug and Alcohol Testing Unit (DATU) or the Medical Advisory Unit (MAU).",2,
Collector,"a person authorised by Part 5, Victoria Police Regulations 2024 to take a sample of breath, urine, hair or blood for the purposes of drug and alcohol testing. Depending on the type of sample being taken, this can include a registered practitioner, an approved health professional, a police officer (breath only) or a registered nurse.",2,Victoria Police Regulations 2024
Critical incident (CI),"s.82, Victoria Police Act defines a CI as: an incident involving the discharge of a firearm by a member of Victoria Police personnel while that member is on duty; or an incident involving a member of Victoria Police personnel while the member is on duty which results in the death, or serious injury to, a person; and involves any one or more of the following: the use of force by the member the use of a motor vehicle by the member (including as a passenger) in the course of the member's duties the death of, or serious injury to, a person while that person is in the custody of the member.",2,
Designated Work Unit (DWU)/Designated Work Function (DWF),"the Chief Commissioner or a Deputy Commissioner, by written instrument, may determine that a work unit or work function within Victoria Police is a 'designated work unit' or 'designated work function' for the purposes of alcohol and drug testing due to the increased risk associated with that unit/role (further detail provided at section 6).",2,
Drug of dependence,"has the same meaning as in the Drugs, Poisons and Controlled Substances Act 1981.",2,Poisons and Controlled Substances Act 1981
Employee,"All Victoria Police personnel, including police members, Reservists, Protective Services Officers, recruits and VPS employees.",2,
Illicit drug,"means any drug defined and specified as prohibited or illegal under Commonwealth or Victorian legislation. For the purpose of this policy, this also includes the non-prescribed use of prescription medication (including the use of another person's prescription medication).",2,
Licit drug,means any drug that is prescribed for an employee and used by that employee in accordance with the prescribed dose or purchased as over-the-counter medication and used in accordance with the recommended dose.,2,
